1,2024-05-21,2,1001,Customer_2,East,9,Product_9,Grocery,9,1047,9423,UPI
2,2024-09-20,49,2057,Customer_49,West,5,Product_5,Electronics,9,632,5688,Card
3,2024-03-18,26,1074,Customer_26,East,7,Product_7,Fashion,6,1625,9750,Card
4,2024-04-28,23,1075,Customer_23,West,18,Product_18,Home Decor,8,1099,8792,COD
5,2024-04-27,49,1076,Customer_49,West,3,Product_3,Electronics,8,1214,9712,Card
6,2024-02-07,40,1077,Customer_40,West,12,Product_12,Home Decor,6,1539,9234,UPI
7,2024-01-18,37,1002,Customer_37,North,19,Product_19,Home Decor,1,1563,1563,NetBanking
8,2024-09-26,19,2058,Customer_19,South,8,Product_8,Home Decor,5,1924,9620,COD
9,2024-03-31,8,1078,Customer_8,North,20,Product_20,Electronics,8,1558,12464,UPI
10,2024-03-28,9,1003,Customer_9,South,12,Product_12,Home Decor,4,1539,6156,COD
11,2024-03-29,40,1004,Customer_40,West,14,Product_14,Grocery,3,204,612,NetBanking
12,2024-05-01,19,1079,Customer_19,South,16,Product_16,Electronics,2,1948,3896,Card
13,2024-02-20,15,1080,Customer_15,West,1,Product_1,Grocery,5,574,2870,Card
14,2024-10-14,39,2059,Customer_39,East,11,Product_11,Grocery,3,1093,3279,COD
15,2024-10-05,20,2060,Customer_20,North,15,Product_15,Grocery,4,976,3904,UPI
16,2024-06-05,12,1081,Customer_12,South,12,Product_12,Home Decor,1,1539,1539,Card
17,2024-06-19,5,1082,Customer_5,West,2,Product_2,Home Decor,1,481,481,UPI
18,2024-04-27,1,1083,Customer_1,South,5,Product_5,Electronics,10,632,6320,NetBanking
19,2024-05-25,40,1005,Customer_40,West,14,Product_14,Grocery,9,204,1836,COD
20,2024-09-29,50,2061,Customer_50,South,3,Product_3,Electronics,6,1214,7284,UPI
21,2024-06-28,48,1006,Customer_48,East,17,Product_17,Electronics,4,1320,5280,COD
22,2024-02-14,25,1007,Customer_25,East,18,Product_18,Home Decor,1,1099,1099,Card
23,2024-07-17,48,2062,Customer_48,East,16,Product_16,Electronics,5,1948,9740,NetBanking
24,2024-12-24,44,2063,Customer_44,North,16,Product_16,Electronics,3,1948,5844,COD
25,2024-04-13,30,1008,Customer_30,West,12,Product_12,Home Decor,10,1539,15390,NetBanking
26,2024-04-22,5,1009,Customer_5,West,13,Product_13,Home Decor,6,1267,7602,NetBanking
27,2024-02-11,39,1010,Customer_39,East,5,Product_5,Electronics,1,632,632,NetBanking
28,2024-09-05,30,2064,Customer_30,West,20,Product_20,Electronics,2,1558,3116,COD
29,2024-08-09,17,2065,Customer_17,West,16,Product_16,Electronics,5,1948,9740,UPI
30,2024-07-01,33,2066,Customer_33,North,20,Product_20,Electronics,10,1558,15580,Card
31,2024-02-13,36,1084,Customer_36,South,4,Product_4,Grocery,5,1380,6900,Card
32,2024-03-19,50,1085,Customer_50,South,3,Product_3,Electronics,6,1214,7284,Card
33,2024-03-25,47,1086,Customer_47,West,16,Product_16,Electronics,5,1948,9740,Card
34,2024-02-16,26,1087,Customer_26,East,2,Product_2,Home Decor,2,481,962,COD
35,2024-05-14,2,1088,Customer_2,East,1,Product_1,Grocery,10,574,5740,COD
36,2024-05-12,43,1089,Customer_43,South,13,Product_13,Home Decor,10,1267,12670,NetBanking
37,2024-05-07,48,1090,Customer_48,East,10,Product_10,Fashion,4,273,1092,Card
38,2024-02-29,47,1091,Customer_47,West,9,Product_9,Grocery,4,1047,4188,COD
39,2024-03-17,48,1092,Customer_48,East,6,Product_6,Fashion,7,1421,9947,UPI
40,2024-03-13,19,1093,Customer_19,South,17,Product_17,Electronics,4,1320,5280,Card
41,2024-01-04,46,1094,Customer_46,South,19,Product_19,Home Decor,10,1563,15630,Card
42,2024-03-16,39,1095,Customer_39,East,1,Product_1,Grocery,9,574,5166,NetBanking
43,2024-01-20,19,1096,Customer_19,South,14,Product_14,Grocery,9,204,1836,NetBanking
44,2024-06-26,15,1097,Customer_15,West,4,Product_4,Grocery,2,1380,2760,COD
45,2024-03-16,13,1098,Customer_13,East,14,Product_14,Grocery,2,204,408,NetBanking
46,2024-02-15,44,1099,Customer_44,North,2,Product_2,Home Decor,9,481,4329,UPI
47,2024-02-10,3,1100,Customer_3,North,14,Product_14,Grocery,4,204,816,UPI
48,2024-02-17,39,1101,Customer_39,East,8,Product_8,Home Decor,2,1924,3848,COD
49,2024-03-02,23,1102,Customer_23,West,8,Product_8,Home Decor,8,1924,15392,UPI
50,2024-05-12,26,1103,Customer_26,East,17,Product_17,Electronics,7,1320,9240,COD
51,2024-02-09,17,1104,Customer_17,West,19,Product_19,Home Decor,5,1563,7815,Card
52,2024-03-26,7,1011,Customer_7,West,17,Product_17,Electronics,6,1320,7920,COD
53,2024-04-08,44,1105,Customer_44,North,2,Product_2,Home Decor,9,481,4329,NetBanking
54,2024-04-05,29,1012,Customer_29,West,9,Product_9,Grocery,5,1047,5235,UPI
55,2024-01-28,5,1106,Customer_5,West,4,Product_4,Grocery,1,1380,1380,COD
56,2024-04-07,25,1107,Customer_25,East,19,Product_19,Home Decor,7,1563,10941,COD
57,2024-03-01,43,1108,Customer_43,South,1,Product_1,Grocery,5,574,2870,NetBanking
58,2024-01-23,50,1109,Customer_50,South,16,Product_16,Electronics,1,1948,1948,COD
59,2024-05-22,45,1013,Customer_45,East,1,Product_1,Grocery,1,574,574,Card
60,2024-06-15,16,1014,Customer_16,North,8,Product_8,Home Decor,9,1924,17316,COD
61,2024-04-30,27,1110,Customer_27,West,10,Product_10,Fashion,8,273,2184,NetBanking
62,2024-04-27,19,1111,Customer_19,South,13,Product_13,Home Decor,10,1267,12670,UPI
63,2024-11-25,2,2067,Customer_2,East,16,Product_16,Electronics,3,1948,5844,UPI
64,2024-01-21,10,1112,Customer_10,North,14,Product_14,Grocery,9,204,1836,UPI
65,2024-03-28,44,1113,Customer_44,North,8,Product_8,Home Decor,8,1924,15392,Card
66,2024-07-06,5,2068,Customer_5,West,7,Product_7,Fashion,7,1625,11375,Card
67,2024-05-18,21,1114,Customer_21,West,3,Product_3,Electronics,2,1214,2428,NetBanking
68,2024-05-14,33,1115,Customer_33,North,12,Product_12,Home Decor,7,1539,10773,NetBanking
69,2024-02-20,17,1015,Customer_17,West,17,Product_17,Electronics,2,1320,2640,COD
70,2024-02-04,1,1116,Customer_1,South,9,Product_9,Grocery,9,1047,9423,COD
71,2024-11-29,24,2069,Customer_24,West,18,Product_18,Home Decor,2,1099,2198,COD
72,2024-05-29,26,1016,Customer_26,East,8,Product_8,Home Decor,8,1924,15392,COD
73,2024-11-07,35,2070,Customer_35,East,7,Product_7,Fashion,3,1625,4875,UPI
74,2024-04-26,25,1017,Customer_25,East,8,Product_8,Home Decor,6,1924,11544,Card
75,2024-05-05,1,1018,Customer_1,South,8,Product_8,Home Decor,10,1924,19240,UPI
76,2024-03-23,16,1019,Customer_16,North,14,Product_14,Grocery,3,204,612,NetBanking
77,2024-05-04,24,1117,Customer_24,West,7,Product_7,Fashion,3,1625,4875,UPI
78,2024-04-05,31,1020,Customer_31,South,2,Product_2,Home Decor,7,481,3367,NetBanking
